Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80684I99900KS,Intel,Core i9-9900KS,1,106,4033,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX80684I99900KF,Intel,Core i9-9900KF,2,100,6658,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX80684I99900K,Intel,Core i9-9900K,3,99.5,158402,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,BX80684I79700K,Intel,Core i7-9700K,4,98.8,151006,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX80684I79700KF,Intel,Core i7-9700KF,5,98.4,2069,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,BX80684I99900,Intel,Core i9-9900,6,95.5,1830,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz
CPU,BX80684I78086K,Intel,Core i7-8086K,7,95.3,19271,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,100-100000023BOX,AMD,Ryzen 9 3900X,8,94.3,48451,https://cpu.userbenchmark.com/AMD-Ryzen-9-3900X/Rating/4044
CPU,BX80684I59600KF,Intel,Core i5-9600KF,9,94.3,9158,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,100-100000011WOF,AMD,Ryzen TR 3970X,10,93.8,545,https://cpu.userbenchmark.com/SpeedTest/970030/AMD-Ryzen-Threadripper-3970X-32-Core-Processor
CPU,BX80684I79700F,Intel,Core i7-9700F,11,93.7,5222,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,100-100000025BOX,AMD,Ryzen 7 3800X,12,93.6,31932,https://cpu.userbenchmark.com/AMD-Ryzen-7-3800X/Rating/4047
CPU,BX80684I79700,Intel,Core i7-9700,13,93.5,12793,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,100-100000010WOF,AMD,Ryzen TR 3960X,14,93.5,528,https://cpu.userbenchmark.com/SpeedTest/969111/AMD-Ryzen-Threadripper-3960X-24-Core-Processor
CPU,100-100000051WOF,AMD,Ryzen 9 3950X,15,93.4,5482,https://cpu.userbenchmark.com/AMD-Ryzen-9-3950X/Rating/4057
CPU,BX8069510920X,Intel,Core i9-10920X,16,93.4,104,https://cpu.userbenchmark.com/SpeedTest/931866/IntelR-CoreTM-i9-10920X-CPU---350GHz
CPU,BX80684I59600K,Intel,Core i5-9600K,17,93.2,92701,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX8069510900X,Intel,Core i9-10900X,18,92.9,185,https://cpu.userbenchmark.com/SpeedTest/969950/IntelR-CoreTM-i9-10900X-CPU---370GHz
CPU,BX8069510940X,Intel,Core i9-10940X,19,92.7,93,https://cpu.userbenchmark.com/SpeedTest/932085/IntelR-CoreTM-i9-10940X-CPU---330GHz
CPU,BX80684I78700K,Intel,Core i7-8700K,20,92.6,400791,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,100-100000071BOX,AMD,Ryzen 7 3700X,21,92.1,129838,https://cpu.userbenchmark.com/AMD-Ryzen-7-3700X/Rating/4043
CPU,BX80684I59600,Intel,Core i5-9600,22,91.9,183,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz
CPU,BX80673I99920X,Intel,Core i9-9920X,23,90.4,574,https://cpu.userbenchmark.com/SpeedTest/656219/IntelR-CoreTM-i9-9920X-CPU---350GHz
CPU,BX80684I39350KF,Intel,Core i3-9350KF,24,90,205,https://cpu.userbenchmark.com/Intel-Core-i3-9350KF/Rating/4055
CPU,BX80684I58600K,Intel,Core i5-8600K,25,89.8,153986,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
CPU,100-100000022BOX,AMD,Ryzen 5 3600X,26,89.7,54621,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600X/Rating/4041
