Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,SSDPED1D280GASX,Intel,900P Optane NVMe PCIe 280GB,1,453,1411,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPE21D280GASX,Intel,900P Optane NVMe PCIe 280GB,1,453,1411,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPED1D960GAX1,Intel,905P Optane NVMe PCIe 960GB,2,434,288,https://ssd.userbenchmark.com/SpeedTest/498903/INTEL-SSDPED1D960GAY
SSD,SSDPED1D480GASX,Intel,900P Optane NVMe PCIe 480GB,3,429,984,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,SSDPE21D480GASX,Intel,900P Optane NVMe PCIe 480GB,3,429,984,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,SB-ROCKET-NVMe4-2TB,Sabrent,Rocket 4 NVMe PCIe M.2 2TB,4,402,412,https://ssd.userbenchmark.com/SpeedTest/847932/Sabrent-ROCKET-40-2TB
SSD,GP-ASM2NE6200TTTD,Gigabyte,Aorus NVMe PCIe M.2 2TB,5,394,681,https://ssd.userbenchmark.com/SpeedTest/844144/GIGABYTE-GP-ASM2NE6200TTTD
SSD,CSSD-F2000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 2TB,6,372,881,https://ssd.userbenchmark.com/SpeedTest/841469/Force-MP600
SSD,SB-ROCKET-NVMe4-1TB,Sabrent,Rocket 4 NVMe PCIe M.2 1TB,7,368,4890,https://ssd.userbenchmark.com/SpeedTest/844208/Sabrent-ROCKET-40-1TB
SSD,CSSD-F1000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 1TB,8,356,5568,https://ssd.userbenchmark.com/SpeedTest/843047/Force-MP600
SSD,GP-ASM2NE6100TTTD,Gigabyte,Aorus NVMe PCIe M.2 1TB,9,353,2678,https://ssd.userbenchmark.com/SpeedTest/842989/GIGABYTE-GP-ASM2NE6100TTTD
